No,Date,DateOfWeek,Eat In,TotalNetSales,Forecast,VarianceÂ (NetÂ SalesÂ -Â LastÂ Year),Is_Holiday,Holiday_Name,temp,feelslike,conditions,description,icon
801,26/07/2023,Wed,3814.06,4214.12,3700.0,1501.12,0,,14.2,14.2,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
802,27/07/2023,Thu,4131.07,4806.94,3700.0,1704.91,0,,17.9,17.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
803,28/07/2023,Fri,3627.33,4456.16,4500.0,1108.26,0,,17.5,17.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
804,29/07/2023,Sat,6115.45,6840.6,6200.0,1784.01,0,,16.9,16.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
805,30/07/2023,Sun,2634.82,2803.47,3300.0,-210.23,0,,15.9,15.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
806,31/07/2023,Mon,3521.13,3940.47,3000.0,1951.36,0,,16.3,16.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
807,01/08/2023,Tue,2874.09,3208.88,3200.0,-67.83,0,,16.3,16.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
808,02/08/2023,Wed,4628.71,5046.46,3600.0,2081.18,0,,16.3,16.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
809,03/08/2023,Thu,3910.6,4624.91,3800.0,1347.0,0,,16.3,16.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
810,04/08/2023,Fri,3246.58,4112.03,4000.0,1574.71,0,,15.2,15.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
811,05/08/2023,Sat,5121.62,5875.83,6000.0,2228.25,0,,14.2,14.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
812,06/08/2023,Sun,2725.3,2965.47,3200.0,979.8,0,,14.3,14.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
813,07/08/2023,Mon,2945.27,3302.82,3000.0,1459.03,0,,14.5,14.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
